Nome;Codigo;Rio
CUIAB¡;66260002;CUIAB¡
DESCALVADOS;66090000;PARAGUAI
ESTRADA MT-738;66900000;MIRANDA
PALMEIRAS;66941000;AQUIDAUANA
PORTO CERCADO (Ex-Retiro BiguaÁal) ;66340000;CUIAB¡
PORTO CONCEI«√O ;66120000;PARAGUAI
PORTO DO ALEGRE;66750000;CUIAB¡
PORTO ESPERAN«A;66960008;PARAGUAI
POUSADA TAIAM√  (Ex-Porto Jofre);66710000;CUIAB¡
SANTO ANT‘NIO DO LEVERGER;66270000;CUIAB¡
S√O JER‘NIMO;66600000;PIQUIRI
S√O JOS… DO BORIR…U ;66470000;S√O LOUREN«O
S√O JOS… DO PIQUIRI;66650000;PIQUIRI
BAR√O DE MELGA«O;66280000;CUIAB¡
CUIAB¡;66260001;CUIAB¡
GOVERNADOR VALADARES;56850000;DOCE
COLATINA;56994500;DOCE
ALEGRETE;76750000;IBIRAPUIT√
HUMAIT¡;15630000;MADEIRA
MANICOR…;15700000;MADEIRA
UHE_HUMAIT¡;15629000;MADEIRA
UHE_PAPAGAIO;15627000;MADEIRA
PROSPERIDADE;15490000;MADEIRA
UHE_S√O_CARLOS;15490400;MADEIRA
